name,category,MRP,Discount_Percentage
"Dukes Waffy Strawberry Wafers",Biscuits,45,51
"Dukes Waffy Chocolate Wafers",Biscuits,45,51
"Dukes Waffy Orange Wafers",Biscuits,45,51
"RRO Mozzarella Pizza Cheese","Dairy, Bread & Batter",275,50
"Chef's Basket Durum Wheat Elbow Pasta","Cooking Essentials",160,50
"Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip","Ice Cream & Desserts",280,50
"RRO Fresh Ricotta",Beverages,275,50
"Chef's Basket Durum Wheat Penne Pasta","Packaged Food",160,50
"Moi Soi  Black Bean Sauce - Dip Spread Stir Fry & Marinade","Packaged Food",280,50
"RRO Mascarpone Cheese",Beverages,355,50
